    pgc |       ra |      dec |       gl |       gb |      sgl |      sgb |    Vhel |     Vls |    d25 |  b_a |         pa |         ty |                       type | sdss | alfa100 | QA_sdss | QA_wise |    ebv |   u_mag |   g_mag |   r_mag |   i_mag |   z_mag | u_Rasy | g_Rasy | r_Rasy | i_Rasy | z_Rasy |   A_u |   A_g |   A_r |   A_i |   A_z |  Sba |    Spa | mu0_u | mu0_g | mu0_r | mu0_i | mu0_z | mu50_u | mu50_g | mu50_r | mu50_i | mu50_z | mu90_u | mu90_g | mu90_r | mu90_i | mu90_z | m255_u | m255_g | m255_r | m255_i | m255_z | disc_mu0_u | disc_mu0_g | disc_mu0_r | disc_mu0_i | disc_mu0_z |   h_u |   h_g |   h_r |   h_i |    h_z | R50_u | R50_g | R50_r | R50_i | R50_z | R90_u | R90_g | R90_r | R90_i | R90_z | R255_u | R255_g | R255_r | R255_i | R255_z | C82_u | C82_g | C82_r | C82_i | C82_z | d_m_ext_u | d_m_ext_g | d_m_ext_r | d_m_ext_i | d_m_ext_z |  w1_mag |  w2_mag | w1_Rasy | w2_Rasy |  A_w1 |  A_w2 |  Wba |    Wpa | mu0_w1 | mu0_w2 | mu50_w1 | mu50_w2 | mu90_w1 | mu90_w2 | m255_w1 | m255_w2 | disc_mu0_w1 | disc_mu0_w2 |  h_w1 |  h_w2 | R50_w1 | R50_w2 | R90_w1 | R90_w2 | R255_w1 | R255_w2 | C82_w1 | C82_w2 | d_m_ext_w1 | d_m_ext_w2 | Sqlt | Wqlt | dst | trl | nsp | fon | fnt | cwd | ovm | fov | mlp | bts | unc |                                                                                                 note | inc | inc_e | inc_flg | inc_n |                                                                                             inc_note
    388 |   1.3829 | -28.0983 |  24.8340 | -79.7884 | 266.0981 |   3.1192 |   726.0 |   753.0 |   1.05 | 0.44 |      137.1 |        5.4 |              Sc            |    0 |       0 |       0 |       1 |  0.000 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |    0.0000 |    0.0000 |    0.0000 |    0.0000 |    0.0000 |   15.70 |   15.98 |    1.10 |    0.70 | 0.003 | 0.003 | 0.72 | 147.20 |  22.81 |  23.62 |   23.30 |   23.56 |   25.46 |   25.72 |   15.81 |   16.13 |       20.84 |       20.48 |  0.12 |  0.10 |   0.25 |   0.25 |   0.50 |   0.52 |    0.50 |    0.49 |   2.54 |   2.60 |    -0.0814 |    -0.0616 |    0 |    5 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |   0 |     0 |       1 |     1 |                                                                     [bad_TF] [ambiguous] [disturbed]
    393 |   1.3929 |  53.6313 | 116.0841 |  -8.6294 | 348.4276 |  19.8899 |  9523.0 |  9817.0 |   0.98 | 0.48 |        8.2 |        5.9 |              Sc            |    0 |       0 |       0 |       1 |  0.000 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |    0.0000 |    0.0000 |    0.0000 |    0.0000 |    0.0000 |   13.12 |   13.69 |    1.40 |    1.50 | 0.079 | 0.063 | 0.50 |  10.70 |  18.79 |  19.55 |   20.79 |   21.40 |   22.90 |   23.50 |   13.14 |   13.71 |       18.66 |       19.41 |  0.15 |  0.16 |   0.27 |   0.28 |   0.60 |   0.61 |    0.92 |    0.88 |   3.42 |   3.28 |    -0.0147 |    -0.0267 |    0 |    5 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |  64 |     4 |       0 |     3 |                                                                                                     
    415 |   1.4517 |  27.4491 | 110.6597 | -34.3329 | 320.8087 |  17.8681 |  7532.0 |  7789.0 |   1.07 | 0.62 |       97.8 |        3.3 |             SBb            |    1 |       1 |       1 |       1 |  0.070 |   16.35 |   14.65 |   13.86 |   13.39 |   13.10 |   0.95 |   1.25 |   1.30 |   1.65 |   1.25 | 0.307 | 0.233 | 0.164 | 0.121 | 0.090 | 0.61 | 109.80 | 21.16 | 19.05 | 17.87 | 17.26 | 16.86 |  24.38 |  22.70 |  21.57 |  21.07 |  20.64 |  25.29 |  24.31 |  23.44 |  23.08 |  22.85 |  16.42 |  14.71 |  13.88 |  13.41 |  13.12 |      23.88 |      21.49 |      20.27 |      19.66 |      19.28 |  0.38 |  0.21 |  0.16 |  0.15 |   0.14 |  0.26 |  0.24 |  0.21 |  0.20 |  0.19 |  0.49 |  0.55 |  0.52 |  0.52 |  0.52 |   0.52 |   0.64 |   0.69 |   0.74 |   0.76 |  3.97 |  4.85 |  5.31 |  5.61 |  5.87 |   -0.8935 |   -0.1348 |   -0.0522 |   -0.0323 |   -0.0240 |   13.34 |   13.97 |    1.70 |    1.70 | 0.013 | 0.011 | 0.59 | 118.80 |  18.37 |  19.10 |   20.60 |   21.17 |   23.07 |   23.64 |   13.36 |   14.00 |       19.16 |       19.89 |  0.14 |  0.15 |   0.21 |   0.21 |   0.55 |   0.53 |    0.82 |    0.73 |   4.31 |   4.22 |    -0.0218 |    -0.0390 |    5 |    5 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |  58 |     4 |       0 |     5 |                                                                                                     
    431 |   1.4837 |  22.4926 | 109.3355 | -39.1748 | 315.6908 |  17.0140 |  6615.0 |  6858.6 |   0.83 | 0.30 |       32.9 |        5.8 |             SBc            |    1 |       1 |       1 |       1 |  0.072 |   16.70 |   15.66 |   15.18 |   14.89 |   14.67 |   1.30 |   1.65 |   1.50 |   1.10 |   1.15 | 0.312 | 0.237 | 0.166 | 0.123 | 0.092 | 0.33 |  34.40 | 22.11 | 20.92 | 20.23 | 19.90 | 19.62 |  24.13 |  22.71 |  22.09 |  21.78 |  21.55 |  27.09 |  25.07 |  24.45 |  24.27 |  24.56 |  16.97 |  15.76 |  15.24 |  14.95 |  14.72 |      22.38 |      20.65 |      20.07 |      19.83 |      19.53 |  0.17 |  0.13 |  0.12 |  0.12 |   0.12 |  0.28 |  0.24 |  0.22 |  0.22 |  0.22 |  0.71 |  0.53 |  0.51 |  0.51 |  0.54 |   0.47 |   0.57 |   0.62 |   0.66 |   0.73 |  3.53 |  3.35 |  3.57 |  3.68 |  3.81 |   -0.2686 |   -0.0703 |   -0.0448 |   -0.0370 |   -0.0292 |   15.18 |   15.70 |    1.00 |    1.20 | 0.014 | 0.011 | 0.41 |  33.00 |  20.83 |  21.56 |   22.08 |   22.70 |   24.31 |   24.68 |   15.23 |   15.78 |       19.67 |       20.54 |  0.11 |  0.13 |   0.24 |   0.25 |   0.49 |   0.49 |    0.61 |    0.56 |   2.84 |   2.76 |    -0.0328 |    -0.0647 |    5 |    5 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |  76 |     3 |       0 |     8 |                                                                                                     
    446 |   1.5108 |  27.3489 | 110.6961 | -34.4420 | 320.7132 |  17.8008 |  3181.0 |  3438.0 |   0.59 | 0.62 |      107.0 |        4.8 |            SABc            |    1 |       1 |       1 |       0 |  0.060 |   17.06 |   15.97 |   15.49 |   15.25 |   15.08 |   0.75 |   0.65 |   1.15 |   1.20 |   0.95 | 0.263 | 0.200 | 0.140 | 0.104 | 0.077 | 0.98 | 107.00 | 23.83 | 22.77 | 22.16 | 21.83 | 21.75 |  24.84 |  23.95 |  23.57 |  23.36 |  23.25 |  26.68 |  25.76 |  25.56 |  25.23 |  25.46 |  17.34 |  16.13 |  15.61 |  15.34 |  15.19 |      22.80 |      21.87 |      21.70 |      21.55 |      21.19 |  0.13 |  0.12 |  0.14 |  0.14 |   0.13 |  0.22 |  0.23 |  0.23 |  0.23 |  0.24 |  0.39 |  0.44 |  0.47 |  0.46 |  0.50 |   0.31 |   0.41 |   0.46 |   0.49 |   0.50 |  2.43 |  2.82 |  3.04 |  3.06 |  3.12 |   -0.3722 |   -0.1813 |   -0.1585 |   -0.1417 |   -0.1068 |    0.00 |    0.00 |    0.00 |    0.00 | 0.000 | 0.000 | 0.00 |   0.00 |   0.00 |   0.00 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |        0.00 |        0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |    0.00 |    0.00 |   0.00 |   0.00 |     0.0000 |     0.0000 |    5 |    0 |     |     |     |   F |     |     |     |     |     |     |     |                                                                                                      |   0 |     0 |       1 |     1 |                                                                                   [bad_TF] [face_on]
    448 |   1.5170 | -30.6287 |  10.8316 | -79.4756 | 263.7525 |   2.1568 |  8962.0 |  8976.1 |   1.11 | 0.43 |       33.1 |        2.0 |            SBab            |    0 |       0 |       0 |       1 |  0.000 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |    0.0000 |    0.0000 |    0.0000 |    0.0000 |    0.0000 |   14.18 |   14.80 |    1.20 |    1.40 | 0.002 | 0.002 | 0.54 |  37.40 |  19.88 |  20.59 |   21.29 |   21.89 |   23.89 |   24.12 |   14.23 |   14.84 |       19.43 |       19.89 |  0.13 |  0.12 |   0.22 |   0.22 |   0.52 |   0.48 |    0.69 |    0.62 |   3.19 |   3.00 |    -0.0271 |    -0.0390 |    0 |    5 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |  69 |     3 |       0 |     3 |                                                                                                     
    450 |   1.5267 |  13.1249 | 106.2227 | -48.2707 | 306.1536 |  15.0721 |  5511.0 |  5724.4 |   0.43 | 0.65 |      165.0 |        7.0 |            SBcd            |    1 |       1 |       1 |       0 |  0.144 |   17.61 |   16.18 |   15.64 |   15.33 |   15.14 |   0.50 |   0.75 |   0.50 |   0.55 |   1.00 | 0.625 | 0.476 | 0.333 | 0.247 | 0.184 | 0.78 | 147.00 | 23.06 | 21.88 | 21.21 | 20.80 | 20.39 |  24.88 |  23.74 |  23.16 |  22.92 |  22.52 |  26.22 |  25.06 |  24.64 |  24.70 |  24.67 |  18.06 |  16.25 |  15.69 |  15.38 |  15.22 |      -9.99 |      22.33 |      21.29 |      21.26 |      20.75 | -9.99 |  0.12 |  0.10 |  0.11 |   0.09 |  0.15 |  0.17 |  0.16 |  0.16 |  0.15 |  0.29 |  0.31 |  0.31 |  0.33 |  0.33 |   0.20 |   0.33 |   0.36 |   0.39 |   0.37 |  2.99 |  3.05 |  3.18 |  3.36 |  3.35 |   -9.9900 |   -0.2587 |   -0.1158 |   -0.1129 |   -0.0759 |    0.00 |    0.00 |    0.00 |    0.00 | 0.000 | 0.000 | 0.00 |   0.00 |   0.00 |   0.00 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |        0.00 |        0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |    0.00 |    0.00 |   0.00 |   0.00 |     0.0000 |     0.0000 |    4 |    0 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |   0 |     0 |       1 |     1 |                                                                                   [bad_TF] [face_on]
    451 |   1.5100 |  14.4175 | 106.7000 | -47.0200 | 307.4600 |  15.3800 |  5283.0 |  5500.9 |   0.69 | 0.23 |        0.2 |        8.0 |            SABd            |    1 |       1 |       1 |       0 |  0.096 |   17.56 |   16.38 |   15.88 |   15.60 |   15.38 |   0.70 |   1.54 |   0.85 |   0.90 |   0.80 | 0.419 | 0.319 | 0.223 | 0.166 | 0.123 | 0.36 | 162.30 | 22.71 | 21.62 | 21.06 | 20.79 | 20.55 |  23.89 |  22.92 |  22.43 |  22.18 |  21.98 |  25.56 |  24.74 |  24.27 |  24.11 |  24.19 |  17.69 |  16.44 |  15.91 |  15.64 |  15.43 |      22.48 |      21.03 |      20.36 |      20.14 |      19.78 |  0.13 |  0.11 |  0.10 |  0.11 |   0.10 |  0.17 |  0.19 |  0.19 |  0.19 |  0.19 |  0.34 |  0.38 |  0.38 |  0.39 |  0.41 |   0.34 |   0.43 |   0.48 |   0.49 |   0.51 |  3.05 |  3.14 |  3.20 |  3.25 |  3.30 |   -0.2906 |   -0.0947 |   -0.0560 |   -0.0474 |   -0.0357 |    0.00 |    0.00 |    0.00 |    0.00 | 0.000 | 0.000 | 0.00 |   0.00 |   0.00 |   0.00 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |        0.00 |        0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |    0.00 |    0.00 |   0.00 |   0.00 |     0.0000 |     0.0000 |    5 |    0 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |  76 |     3 |       0 |     4 |                                                                                                     
    461 |   1.5556 |  54.5319 | 116.3406 |  -7.7601 | 349.3841 |  19.7877 |  5588.0 |  5882.0 |   0.93 | 0.34 |      151.7 |        8.1 |                    Sd      |    0 |       0 |       0 |       1 |  0.000 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |    0.0000 |    0.0000 |    0.0000 |    0.0000 |    0.0000 |   13.97 |   14.59 |    1.30 |    0.90 | 0.066 | 0.052 | 0.49 | 148.50 |  20.39 |  21.03 |   21.48 |   21.96 |   23.69 |   23.55 |   13.99 |   14.62 |       19.32 |       19.13 |  0.14 |  0.12 |   0.28 |   0.27 |   0.56 |   0.49 |    0.82 |    0.66 |   2.71 |   2.48 |    -0.0247 |    -0.0212 |    0 |    4 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |  71 |     3 |       0 |     4 |                                                                                              [stars]
    462 |   1.5521 | -22.8525 |  53.1099 | -78.9015 | 271.1069 |   4.7233 |  8120.0 |  8173.7 |   1.05 | 0.28 |      170.5 |        3.0 |              Sb            |    0 |       0 |       0 |       1 |  0.000 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |    0.0000 |    0.0000 |    0.0000 |    0.0000 |    0.0000 |   13.44 |   13.90 |    1.30 |    1.60 | 0.004 | 0.003 | 0.45 | 170.40 |  18.63 |  19.20 |   19.96 |   20.42 |   23.18 |   23.58 |   13.47 |   13.93 |       18.42 |       18.60 |  0.12 |  0.11 |   0.19 |   0.20 |   0.48 |   0.48 |    0.83 |    0.77 |   3.28 |   3.13 |    -0.0121 |    -0.0139 |    0 |    5 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |  81 |     3 |       0 |     5 |                                                                                                     
    465 |   1.5588 |   8.8878 | 104.4513 | -52.3545 | 301.9054 |  14.0485 | 11539.0 | 11736.8 |   0.91 | 0.47 |       91.0 |        4.2 |             Sbc            |    1 |       1 |       1 |       1 |  0.093 |   16.59 |   15.16 |   14.41 |   13.99 |   13.71 |   1.05 |   1.00 |   0.80 |   0.95 |   0.60 | 0.403 | 0.307 | 0.215 | 0.159 | 0.119 | 0.48 |  91.00 | 21.86 | 19.83 | 18.73 | 18.29 | 17.88 |  23.95 |  22.41 |  21.58 |  21.13 |  20.75 |  25.61 |  23.94 |  23.15 |  22.84 |  22.44 |  16.72 |  15.20 |  14.43 |  14.01 |   0.00 |      21.12 |      19.77 |      18.83 |      18.37 |      18.39 |  0.11 |  0.11 |  0.10 |  0.10 |   0.10 |  0.25 |  0.22 |  0.20 |  0.20 |  0.19 |  0.45 |  0.42 |  0.40 |  0.41 |  0.39 |   0.44 |   0.53 |   0.59 |   0.61 |  -0.17 |  2.72 |  3.30 |  3.57 |  3.63 |  3.67 |   -0.1012 |   -0.0353 |   -0.0167 |   -0.0116 |   -0.0118 |   13.94 |   14.52 |    1.40 |    1.84 | 0.018 | 0.014 | 0.52 |  89.70 |  19.48 |  20.21 |   20.92 |   21.45 |   23.01 |   23.34 |   13.96 |   14.54 |       18.42 |       18.86 |  0.10 |  0.10 |   0.22 |   0.22 |   0.44 |   0.42 |    0.67 |    0.61 |   2.95 |   2.79 |    -0.0121 |    -0.0172 |    5 |    5 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |  65 |     4 |       0 |     8 |                                                                                                     
    477 |   1.5895 |  17.4299 | 107.8776 | -44.1201 | 310.5302 |  15.9403 |  5461.0 |  5688.9 |   0.67 | 0.31 |       71.7 |        3.2 |              Sb            |    1 |       1 |       1 |       0 |  0.029 |   16.21 |   15.38 |   14.95 |   14.80 |   14.65 |   0.65 |   0.65 |   0.65 |   0.90 |   0.80 | 0.128 | 0.098 | 0.068 | 0.051 | 0.038 | 0.44 |  64.10 | 19.64 | 19.12 | 18.73 | 18.79 | 18.54 |  21.49 |  20.89 |  20.48 |  20.38 |  20.07 |  23.95 |  23.43 |  23.09 |  23.10 |  22.48 |  16.24 |  15.40 |  14.98 |  14.83 |  14.67 |      19.59 |      18.99 |      18.49 |      18.48 |      17.84 |  0.06 |  0.07 |  0.06 |  0.07 |   0.06 |  0.10 |  0.11 |  0.12 |  0.12 |  0.11 |  0.24 |  0.26 |  0.27 |  0.28 |  0.25 |   0.33 |   0.39 |   0.41 |   0.45 |   0.44 |  3.64 |  3.31 |  3.29 |  3.20 |  3.18 |   -0.0307 |   -0.0191 |   -0.0128 |   -0.0127 |   -0.0076 |    0.00 |    0.00 |    0.00 |    0.00 | 0.000 | 0.000 | 0.00 |   0.00 |   0.00 |   0.00 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |        0.00 |        0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |    0.00 |    0.00 |   0.00 |   0.00 |     0.0000 |     0.0000 |    5 |    0 |     |     |     |     |     |     |     |     |   M |     |     |                                                                                        interacting ! |   0 |     0 |       1 |     1 |                                                             [merger] [bad_TF] [disturbed] [multiple]
    496 |   1.6592 |  17.2841 | 107.9183 | -44.2777 | 310.3959 |  15.8453 |   873.0 |  1100.0 |   1.07 | 0.16 |       65.0 |        8.3 |              Sd            |    1 |       1 |       1 |       1 |  0.028 |   17.70 |   16.67 |   16.43 |   16.39 |   16.14 |   1.05 |   1.55 |   1.45 |   1.40 |   1.55 | 0.120 | 0.092 | 0.064 | 0.048 | 0.035 | 0.16 |  65.00 | 24.31 | 22.98 | 22.76 | 22.44 | 22.53 |  24.64 |  23.86 |  23.60 |  23.34 |  23.65 |  25.97 |  26.08 |  25.66 |  25.58 |  25.29 |  17.98 |  16.86 |  16.58 |  16.55 |  16.24 |      22.77 |      21.60 |      21.37 |      21.37 |      22.29 |  0.20 |  0.19 |  0.19 |  0.19 |   0.30 |  0.35 |  0.38 |  0.38 |  0.35 |  0.42 |  0.63 |  0.79 |  0.77 |  0.74 |  0.84 |   0.51 |   0.68 |   0.73 |   0.68 |   0.86 |  2.72 |  2.90 |  2.90 |  2.87 |  3.35 |   -0.3645 |   -0.1471 |   -0.1228 |   -0.1231 |   -0.2490 |   17.52 |   18.09 |    0.60 |    0.60 | 0.005 | 0.004 | 0.42 |  61.50 |  24.07 |  24.45 |   24.93 |   26.02 |   25.88 |    0.00 |   17.91 |   19.25 |       -9.99 |       -9.99 | -9.99 | -9.99 |   0.29 |   0.33 |   0.49 |  -0.02 |    0.38 |    0.24 |   2.62 |   2.81 |    -9.9900 |    -9.9900 |    5 |    3 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |  88 |     2 |       0 |     9 |                                                                                                     
    507 |   1.6671 |  26.1541 | 110.5526 | -35.6391 | 319.4983 |  17.4744 |  7559.0 |  7812.3 |   1.02 | 0.35 |       10.8 |        2.0 |             Sab            |    1 |       1 |       1 |       1 |  0.035 |   16.41 |   14.88 |   14.13 |   13.70 |   13.40 |   1.25 |   1.05 |   1.00 |   1.00 |   0.95 | 0.153 | 0.116 | 0.082 | 0.060 | 0.045 | 0.35 |  10.80 | 21.59 | 19.68 | 18.56 | 17.98 | 17.55 |  23.18 |  21.75 |  20.86 |  20.40 |  20.05 |  24.72 |  23.75 |  22.87 |  22.59 |  22.28 |  16.47 |  14.92 |  14.15 |  13.71 |  13.41 |      21.55 |      19.43 |      18.71 |      18.43 |      18.29 |  0.14 |  0.11 |  0.11 |  0.11 |   0.11 |  0.22 |  0.22 |  0.20 |  0.19 |  0.19 |  0.42 |  0.46 |  0.44 |  0.44 |  0.43 |   0.48 |   0.61 |   0.67 |   0.74 |   0.87 |  2.91 |  3.43 |  3.69 |  3.83 |  3.88 |   -0.1411 |   -0.0270 |   -0.0153 |   -0.0122 |   -0.0109 |   13.44 |   14.00 |    1.20 |    1.20 | 0.007 | 0.005 | 0.47 |  10.80 |  18.61 |  19.25 |   20.25 |   20.81 |   22.64 |   23.05 |   13.46 |   14.03 |       18.05 |       18.54 |  0.11 |  0.11 |   0.21 |   0.21 |   0.47 |   0.46 |    0.77 |    0.68 |   3.41 |   3.30 |    -0.0090 |    -0.0133 |    4 |    5 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |  74 |     3 |       0 |     7 |                                                                                                     
    511 |   1.6683 |   5.1134 | 102.7122 | -55.9909 | 298.1755 |  12.9963 |  5370.0 |  5552.8 |   0.89 | 0.68 |       37.0 |        4.0 |             Sbc            |    1 |       1 |       1 |       1 |  0.028 |   15.82 |   14.48 |   13.84 |   13.50 |   13.24 |   0.80 |   1.20 |   0.95 |   0.95 |   1.15 | 0.124 | 0.094 | 0.066 | 0.049 | 0.036 | 0.68 |  37.00 | 21.08 | 19.30 | 18.41 | 17.95 | 17.63 |  23.17 |  21.76 |  21.08 |  20.73 |  20.44 |  25.64 |  24.35 |  23.75 |  23.38 |  22.98 |  15.96 |  14.52 |  13.87 |  13.52 |  13.26 |      20.99 |      19.98 |      19.45 |      19.07 |      18.84 |  0.11 |  0.11 |  0.12 |  0.11 |   0.11 |  0.22 |  0.20 |  0.19 |  0.18 |  0.18 |  0.49 |  0.46 |  0.45 |  0.45 |  0.44 |   0.46 |   0.59 |   0.65 |   0.67 |   0.70 |  3.10 |  3.53 |  3.72 |  3.82 |  3.87 |   -0.0918 |   -0.0419 |   -0.0275 |   -0.0203 |   -0.0168 |   13.67 |   14.29 |    1.40 |    1.30 | 0.005 | 0.004 | 0.71 |  37.00 |  19.30 |  20.07 |   20.86 |   21.55 |   23.76 |   24.56 |   13.71 |   14.35 |       19.26 |       19.80 |  0.12 |  0.12 |   0.20 |   0.21 |   0.50 |   0.52 |    0.73 |    0.66 |   3.45 |   3.32 |    -0.0236 |    -0.0361 |    5 |    5 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |  57 |     4 |       0 |     8 |                                                                                                     
    527 |   1.7237 |  41.7405 | 114.0896 | -20.3652 | 335.8192 |  19.2667 |  4247.0 |  4531.0 |   1.10 | 0.13 |       29.0 |        6.0 |              Sc            |    0 |       0 |       0 |       1 |  0.000 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |    0.0000 |    0.0000 |    0.0000 |    0.0000 |    0.0000 |   16.08 |   16.37 |    1.90 |    1.90 | 0.013 | 0.011 | 0.13 |  29.00 |  22.21 |  22.93 |   23.55 |   24.35 |   25.73 |   27.09 |   16.26 |   16.80 |       21.26 |       20.50 |  0.25 |  0.18 |   0.50 |   0.62 |   1.04 |   1.49 |    0.90 |    0.87 |   3.00 |   3.48 |    -0.1127 |    -0.0627 |    0 |    4 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |  90 |     1 |       0 |     6 |                                                                                                     
